Title,Price
【NVIDIA】i9廿四核心RTX 4080 SUPER{美猴王Q6ED}電競電腦(i9-14900F/技嘉B760/64G/2TB/WIFI),71106.0
【NVIDIA】i9廿四核心RTX 4080 SUPER{美猴王Q6DC}電競電腦(i9-14900F/技嘉B760/64G/1TB/WIFI),69082.0
【技嘉平台】i9廿四核心GeForce RTX 4080 SUPER{航海家GQ1FD}電競電腦(i9-14900F/B760/32G/2TB/WIFI),68990.0
【技嘉平台】i7二十核GeForce RTX 4080 Super Win11P{一級玩家W}AI塔散WIFI電競機(I7-14700F/B760/32G/1TB),68849.0
【NVIDIA】i9廿四核心RTX 4080 SUPER{美猴王Q6CD}電競電腦(i9-14900F/技嘉B760/32G/2TB/WIFI),68438.0
【技嘉平台】i7二十核GeForce RTX 4080 Super Win11{一級玩家W}AI塔散WIFI電競機(I7-14700F/B760/32G/1TB),67733.0
【微星平台】i7二十核 RTX 4080 Super Win11{霸者之塔W}AI海景房電競電腦(I7-14700F/B760/32G/1TB/WIFI),67301.0
【技嘉平台】i7廿核GeForce RTX 4080 SUPER Win11{航海家GQ1BDW}電競電腦(i7-14700F/B760/32G/2TB/WIFI),66771.0
【技嘉平台】i7廿核GeForce RTX 4080 SUPER{航海家GQ1DD}電競電腦(i7-14700F/B760/64G/2TB/WIFI),65678.0
【NVIDIA】i9廿四核心RTX 4080 SUPER{銀河系ZQ69C}電競電腦(i9-14900F/技嘉B760/32G/1TB/WIFI),65494.0
【NVIDIA】i7廿核RTX 4080 SUPER{美猴王Q6BD}電競電腦(i7-14700F/技嘉B760/64G/2TB/WIFI),64850.0
【技嘉平台】i7二十核GeForce RTX 4080 Super{一級玩家}AI塔散WIFI電競機(I7-14700F/B760/32G/1TB),64298.0
【微星平台】i7二十核 GeForce RTX 4080 Super{霸者之塔}AI海景房電競電腦(I7-14700F/B760/32G/1TB/WIFI),63893.0
【NVIDIA】i7廿核RTX 4080 SUPER{美猴王Q6AC}電競電腦(i7-14700F/技嘉B760/64G/1TB/WIFI),62826.0
【NVIDIA】i7廿核RTX 4080 SUPER{美猴王Q69D}電競電腦(i7-14700F/技嘉B760/32G/2TB/WIFI),62182.0
【技嘉平台】i7廿核GeForce RTX 4080 SUPER{航海家GQ1AC}電競電腦(i7-14700F/B760/32G/1TB/WIFI),60986.0
【NVIDIA】i5十四核RTX 4080 SUPER{美猴王Q68D}電競電腦(i5-14500/技嘉B760/64G/2TB/WIFI),60802.0
【NVIDIA】i5十四核RTX 4080 SUPER Win11{天王星ZQ61CW}電競電腦(i5-14500/技嘉B760/32G/1TB/WIFI),59301.0
【NVIDIA】i7廿核RTX 4080 SUPER{銀河系ZQ65C}電競電腦(i7-14700F/技嘉B760/32G/1TB/WIFI),59238.0
【NVIDIA】i5十四核RTX 4080 SUPER{美猴王Q67C}電競電腦(i5-14500/技嘉B760/64G/1TB/WIFI),58870.0
【技嘉平台】i5十四核GeForce RTX 4080 SUPER{航海家GQ17D}電競電腦(i5-14500/B760/32G/2TB/WIFI),58778.0
【NVIDIA】i5十四核RTX 4080 SUPER{美猴王Q66D}電競電腦(i5-14500/技嘉B760/32G/2TB/WIFI),58226.0
【技嘉平台】i5十四核GeForce RTX 4080 SUPER{航海家GQ16C}電競電腦(i5-14500/B760/32G/1TB/WIFI),56754.0
【NVIDIA】i5十四核RTX 4080 SUPER{美猴王Q65C}電競電腦(i5-14500/技嘉B760/32G/1TB/WIFI),56202.0
【GIGABYTE 技嘉】RTX 4080S AERO OC 16G + 技嘉 UD850GM PG5W電源供應器(4080 SUPER 超值組合包),43990.0
【NVIDIA】RTX4080 SUPER Founders Edition 創始版 顯示卡+海盜船 HX1000i 白金 數位電源(V+P組合包),42990.0
【ASUS 華碩】NVIDIA RTX4080 Super Founders Edition+ASUS 華碩 3入 ★ WiFi 5 雙頻 AC1500 Mesh,41390.0
【GIGABYTE 技嘉】RTX 4080S WINDFORCE V2 16G + 技嘉 UD850GM PG5 V2電源供應器(4080 SUPER 超值組合包),41290.0
【GIGABYTE 技嘉】RTX 4080S WINDFORCE V2 16G + 技嘉 UD850GM PG5電源供應器(4080 SUPER 超值組合包),40990.0
【NVIDIA】RTX4080 SUPER Founders Edition 創始版 顯示卡+全漢 VITA-1000GM 金牌(V+P組合包),40990.0
【GIGABYTE 技嘉】AORUS GeForce RTX 4080 SUPER MASTER 16G顯示卡,40590.0
【GIGABYTE 技嘉】技嘉 RTX4080 SUPER AERO OC 16G /三風扇/註五年/34cm/RTX4080S,39590.0
【NVIDIA】RTX4080 SUPER Founders Edition 創始版 顯示卡+德隆 君主 創世紀 850W(V+P組合包),38990.0
【MSI 微星】RTX4080 SUPER 16G EXPERT 顯示卡 31.2cm RTX4080S,38990.0
【GIGABYTE 技嘉】GeForce RTX4080 SUPER GAMING OC 16G 顯示卡,38590.0
【GIGABYTE 技嘉】RTX4080 SUPER GAMING OC 16G(三風扇/註五年/RTX4080S),38490.0
【GIGABYTE 技嘉】技嘉 RTX4080 SUPER GAMING OC 16G /三風扇/註五年/RTX4080S,38480.0
【ZOTAC 索泰】RTX4080S+1050W組合★GAMING GeForce RTX 4080 SUPER 16GB顯示卡+酷碼 1050WATX3.0電源,38207.0
【PNY 必恩威】PNY RTX 4080 Super 16GB XLR8 VERTO OC ARGB Triple Fan,38100.0
【MSI 微星】RTX 4080 SUPER 16G GAMING X SLIM 顯示卡,37990.0
【ZOTAC 索泰】搭金士頓16GB*2★GAMING RTX 4080 SUPER Trinity Black Edition 16GB GDDR6X 顯示卡,37799.0
【ZOTAC 索泰】RTX4080S+850W組合★GAMING GeForce RTX 4080 SUPER 16GB顯示卡+酷碼 金牌850W電源,37631.0
【ZOTAC 索泰】GAMING GeForce RTX 4080 SUPER Trinity OC White Edition 16GB GDDR6X 顯示卡(白色),37490.0
【ZOTAC 索泰】RTX4080S+27型螢幕組合★GAMING GeForce RTX 4080 SUPER 16GB GDDR6X 顯示卡+27型螢幕,36863.0
【MSI 微星】GeForce RTX 4080 SUPER 16G VENTUS 3X OC 顯示卡,36590.0
【GIGABYTE 技嘉】GeForce RTX 4080 SUPER WINDFORCE V2 16G(GV-N408SWF3V2-16GD),36590.0
【NVIDIA】RTX4080 SUPER Founders Edition 創始版 顯示卡,36490.0
【GIGABYTE 技嘉】GeForce RTX4080 SUPER WINDFORCE V2 16G 顯示卡,36490.0
【MSI 微星】RTX 4080 SUPER 16G VENTUS 3X OC 顯示卡,36490.0
【ZOTAC 索泰】RTX 4080 SUPER Trinity Black 16GB D6X 顯示卡,36490.0
【MSI 微星】RTX 4080 SUPER 16G VENTUS 3X OC 顯示卡,36490.0
【GIGABYTE 技嘉】RTX 4080 SUPER WINDFORCE V2 16G 顯示卡,36490.0
【GIGABYTE 技嘉】技嘉 RTX4080 SUPER WINDFORCE V2 16G /33cm/註四年/RTX4080S,36380.0
【GIGABYTE 技嘉】RTX4080 SUPER WINDFORCE V2 16G(33cm/註四年/RTX4080S),36380.0
【ZOTAC 索泰】GAMING GeForce RTX 4080 SUPER Trinity Black Edition 16GB GDDR6X 顯示卡,35490.0
【Inno3D 映眾】GEFORCE RTX 4080 SUPER ICHILL X3,34888.0
【Inno3D 映眾】GEFORCE RTX 4080 16G SUPER X3,33888.0
